country_id,country,last_update,Categoria
15,Brazil,2006-02-15 09:44:00,América
60,Mexico,2006-02-15 09:44:00,América
103,United States,2006-02-15 09:44:00,América
20,Canada,2006-02-15 09:44:00,América
50,Japan,2006-02-15 09:44:00,Asia
86,South Korea,2006-02-15 09:44:00,Asia
23,China,2006-02-15 09:44:00,Asia
44,India,2006-02-15 09:44:00,Asia
78,Romania,2006-02-15 09:44:00,Desconocido
77,Puerto Rico,2006-02-15 09:44:00,Desconocido
76,Poland,2006-02-15 09:44:00,Desconocido
75,Philippines,2006-02-15 09:44:00,Desconocido
74,Peru,2006-02-15 09:44:00,Desconocido
73,Paraguay,2006-02-15 09:44:00,Desconocido
72,Pakistan,2006-02-15 09:44:00,Desconocido
71,Oman,2006-02-15 09:44:00,Desconocido
1,Afghanistan,2006-02-15 09:44:00,Desconocido
79,Runion,2006-02-15 09:44:00,Desconocido
67,Netherlands,2006-02-15 09:44:00,Desconocido
66,Nepal,2006-02-15 09:44:00,Desconocido
65,Nauru,2006-02-15 09:44:00,Desconocido
64,Myanmar,2006-02-15 09:44:00,Desconocido
63,Mozambique,2006-02-15 09:44:00,Desconocido
62,Morocco,2006-02-15 09:44:00,Desconocido
61,Moldova,2006-02-15 09:44:00,Desconocido
59,Malaysia,2006-02-15 09:44:00,Desconocido
58,Malawi,2006-02-15 09:44:00,Desconocido
70,North Korea,2006-02-15 09:44:00,Desconocido
80,Russian Federation,2006-02-15 09:44:00,Desconocido
83,Senegal,2006-02-15 09:44:00,Desconocido
82,Saudi Arabia,2006-02-15 09:44:00,Desconocido
107,Yemen,2006-02-15 09:44:00,Desconocido
106,"Virgin Islands, U.S.",2006-02-15 09:44:00,Desconocido
105,Vietnam,2006-02-15 09:44:00,Desconocido
104,Venezuela,2006-02-15 09:44:00,Desconocido
102,United Kingdom,2006-02-15 09:44:00,Desconocido
101,United Arab Emirates,2006-02-15 09:44:00,Desconocido
100,Ukraine,2006-02-15 09:44:00,Desconocido
99,Tuvalu,2006-02-15 09:44:00,Desconocido
98,Turkmenistan,2006-02-15 09:44:00,Desconocido
97,Turkey,2006-02-15 09:44:00,Desconocido
96,Tunisia,2006-02-15 09:44:00,Desconocido
95,Tonga,2006-02-15 09:44:00,Desconocido
94,Thailand,2006-02-15 09:44:00,Desconocido
93,Tanzania,2006-02-15 09:44:00,Desconocido
92,Taiwan,2006-02-15 09:44:00,Desconocido
91,Switzerland,2006-02-15 09:44:00,Desconocido
90,Sweden,2006-02-15 09:44:00,Desconocido
89,Sudan,2006-02-15 09:44:00,Desconocido
88,Sri Lanka,2006-02-15 09:44:00,Desconocido
84,Slovakia,2006-02-15 09:44:00,Desconocido
57,Madagascar,2006-02-15 09:44:00,Desconocido
81,Saint Vincent and the Grenadines,2006-02-15 09:44:00,Desconocido
56,Lithuania,2006-02-15 09:44:00,Desconocido
55,Liechtenstein,2006-02-15 09:44:00,Desconocido
54,Latvia,2006-02-15 09:44:00,Desconocido
26,Czech Republic,2006-02-15 09:44:00,Desconocido
25,"Congo, The Democratic Republic of the",2006-02-15 09:44:00,Desconocido
24,Colombia,2006-02-15 09:44:00,Desconocido
22,Chile,2006-02-15 09:44:00,Desconocido
21,Chad,2006-02-15 09:44:00,Desconocido
19,Cameroon,2006-02-15 09:44:00,Desconocido
18,Cambodia,2006-02-15 09:44:00,Desconocido
17,Bulgaria,2006-02-15 09:44:00,Desconocido
16,Brunei,2006-02-15 09:44:00,Desconocido
14,Bolivia,2006-02-15 09:44:00,Desconocido
13,Belarus,2006-02-15 09:44:00,Desconocido
12,Bangladesh,2006-02-15 09:44:00,Desconocido
11,Bahrain,2006-02-15 09:44:00,Desconocido
10,Azerbaijan,2006-02-15 09:44:00,Desconocido
9,Austria,2006-02-15 09:44:00,Desconocido
7,Armenia,2006-02-15 09:44:00,Desconocido
6,Argentina,2006-02-15 09:44:00,Desconocido
5,Anguilla,2006-02-15 09:44:00,Desconocido
4,Angola,2006-02-15 09:44:00,Desconocido
3,American Samoa,2006-02-15 09:44:00,Desconocido
2,Algeria,2006-02-15 09:44:00,Desconocido
27,Dominican Republic,2006-02-15 09:44:00,Desconocido
108,Yugoslavia,2006-02-15 09:44:00,Desconocido
28,Ecuador,2006-02-15 09:44:00,Desconocido
109,Zambia,2006-02-15 09:44:00,Desconocido
46,Iran,2006-02-15 09:44:00,Desconocido
45,Indonesia,2006-02-15 09:44:00,Desconocido
43,Hungary,2006-02-15 09:44:00,Desconocido
42,Hong Kong,2006-02-15 09:44:00,Desconocido
41,Holy See (Vatican City State),2006-02-15 09:44:00,Desconocido
30,Estonia,2006-02-15 09:44:00,Desconocido
51,Kazakstan,2006-02-15 09:44:00,Desconocido
40,Greenland,2006-02-15 09:44:00,Desconocido
47,Iraq,2006-02-15 09:44:00,Desconocido
39,Greece,2006-02-15 09:44:00,Desconocido
37,Gambia,2006-02-15 09:44:00,Desconocido
36,French Polynesia,2006-02-15 09:44:00,Desconocido
35,French Guiana,2006-02-15 09:44:00,Desconocido
53,Kuwait,2006-02-15 09:44:00,Desconocido
33,Finland,2006-02-15 09:44:00,Desconocido
32,Faroe Islands,2006-02-15 09:44:00,Desconocido
31,Ethiopia,2006-02-15 09:44:00,Desconocido
48,Israel,2006-02-15 09:44:00,Desconocido
87,Spain,2006-02-15 09:44:00,Europa
34,France,2006-02-15 09:44:00,Europa
49,Italy,2006-02-15 09:44:00,Europa
38,Germany,2006-02-15 09:44:00,Europa
68,New Zealand,2006-02-15 09:44:00,Oceanía
8,Australia,2006-02-15 09:44:00,Oceanía
69,Nigeria,2006-02-15 09:44:00,África
52,Kenya,2006-02-15 09:44:00,África
85,South Africa,2006-02-15 09:44:00,África
29,Egypt,2006-02-15 09:44:00,África
